交易日期,作物代號,作物名稱,市場代號,市場名稱,上價,中價,下價,平均價,交易量,
106.11.28,11,椰子,104,台北二,20.9,17,13.8,17.1,1154,
106.11.28,22,棗子,104,台北二,103.5,68.2,35,68.6,174,
106.11.28,31,釋迦,104,台北二,170.4,112.9,71.3,116,541,
106.11.28,32,釋迦-鳳梨釋迦,104,台北二,146.2,78.9,60.3,88.6,366,
106.11.28,45,草莓,104,台北二,170,145.4,130,147.2,18,
106.11.28,459,草莓-進口,104,台北二,400,400,400,400,15,
106.11.28,469,藍莓-進口藍莓,104,台北二,266.7,266.7,266.7,266.7,176,
106.11.28,50,百香果-其他,104,台北二,59,35.6,14.5,36.1,1162,
106.11.28,51,百香果-改良種,104,台北二,84.7,40.7,20.9,45.5,3755,
106.11.28,70,小番茄-其他,104,台北二,98.4,68.1,56.4,71.8,221,
106.11.28,72,小番茄-聖女,104,台北二,119.4,73.5,50.8,78.2,2049,
106.11.28,74,小番茄-玉女,104,台北二,304.3,165.1,75.3,175,891,
106.11.28,811,火龍果-白肉,104,台北二,126,111.8,76.7,107.6,450,
106.11.28,812,火龍果-紅肉,104,台北二,95.1,60.8,41.7,63.8,6236,
106.11.28,849,石榴-進口,104,台北二,96.9,81.2,60,80.1,1430,
106.11.28,91,其他,104,台北二,103.4,41.8,23,50.3,200,
106.11.28,919,其他-進口,104,台北二,226.6,226.6,226.6,226.6,5,
106.11.28,A1,香蕉,104,台北二,28.1,25.5,20,24.9,38875,
106.11.28,A2,香蕉-芭蕉,104,台北二,44.6,22.1,15.8,25.3,3907,
106.11.28,A3,香蕉-旦蕉,104,台北二,105,59.7,30,62.8,97,
106.11.28,B2,鳳梨-金鑽鳳梨,104,台北二,29.1,20.2,10.2,19.9,3706,
106.11.28,B9,鳳梨-進口,104,台北二,45,45,45,45,50,
106.11.28,C0,椪柑(其他)-其他,104,台北二,70.2,36.9,18.8,39.9,503,
106.11.28,C1,椪柑,104,台北二,31.8,19.5,10.6,20.1,47755,
106.11.28,C2,茂谷柑,104,台北二,40,36.7,25,35,60,
106.11.28,C6,佛利檬-佛利檬,104,台北二,78.1,51.7,30,52.6,522,
106.11.28,C9,椪柑-進口,104,台北二,57.2,44.4,44.4,47,1000,
106.11.28,E0,甜橙-其他,104,台北二,45,10,10,17,222,
106.11.28,E1,甜橙-柳橙,104,台北二,34.4,23.9,16.5,24.5,15174,
106.11.28,F0,雜柑-其他,104,台北二,15,15,15,15,20,
106.11.28,F1,雜柑-檸檬,104,台北二,60.9,29.5,10.6,32,1879,
106.11.28,F2,雜柑-金棗,104,台北二,50,50,50,50,72,
106.11.28,F4,雜柑-桔子,104,台北二,54.2,22.8,8,26.1,149,
106.11.28,F5,雜柑-無子檸檬,104,台北二,87.9,45.8,18.5,48.8,2212,
106.11.28,F9,雜柑-進口,104,台北二,333.3,333.3,333.3,333.3,4,
106.11.28,FA1,黃秋葵,104,台北二,80.3,36.2,13.3,40.4,1426,
106.11.28,FB11,花椰菜-青梗,104,台北二,30.4,23.8,15.2,23.4,26496,
